name,category,summary
"Grand Theft Auto VI","Action / Open World","The single most anticipated release of the year, taking players back to a massive, modern reimagining of Vice City and the state of Leonida."
"Resident Evil Requiem","Survival Horror","A terrifying return to Raccoon City starring veteran Leon S. Kennedy and newcomer Grace Ashcroft, set 30 years after the biological disaster."
"007 First Light","Action / Stealth","Developed by the creators of Hitman, this espionage thriller serves as an origin story detailing how a young James Bond earned his 00 status."
"Marvel's Wolverine","Action-Adventure","A brutal, standalone superhero adventure developed by Insomniac Games focusing on the iconic mutant's globe-spanning search for answers."
"Pragmata","Sci-Fi Action","Capcom's mysterious new IP following a spacefarer named Hugh and his android companion Diana as they explore a lunar research station."
"Fable","Action RPG","The long-awaited reboot of the classic fantasy franchise, bringing players back to Albion with its signature blend of heroic action and British humor."
"Reanimal","Co-op Horror","A creepy, atmospheric adventure from the creators of Little Nightmares where a brother and sister must survive horrific, twisted creatures."
"Subnautica 2","Survival","The highly anticipated sequel to the underwater survival hit, expanding the formula with an overhauled building system and up-to-four-player co-op."
"Forza Horizon 6","Racing","The next major installment of the premier open-world racing franchise, bringing its massive car roster and festival vibes to an exciting new location."
"Code Vein II","Action RPG","A sequel to the vampire-themed Soulslike that delivers more methodical combat, new weapons, and an expansive character creator."
"Control Resonant","Action-Adventure","The supernatural sequel to Control, this time following Jesse's brother Dylan as he wields psychic powers to fight cosmic threats in Manhattan."
"Mario Tennis Fever","Sports","A competitive new Mario sports title launching on the Switch 2, featuring fighting-game-like mechanics and customizable Fever Rackets."
"Pokémon Pokopia","Life Sim","A cozy, Animal Crossing-style spin-off where you play as a shape-shifting Ditto tasked with building and tending to a vibrant town for Pokémon."
"Invincible VS","Fighting","A brutal, fast-paced 3v3 tag-team fighting game featuring characters from the hit Amazon Prime animated series."